Time	Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P
440	225.919369315	2.03072308596e-06	65.636411445	0.000192576402774	306.380582953	38.3388458962	32.7163414975	30.8874912688
460	233.548371466	6.92406587081e-07	63.7121328996	6.39425964915e-05	314.89291769	35.4193483247	34.7896373029	33.9893359759
480	224.007443294	2.31706552051e-07	70.813279339	2.14617946359e-05	289.559172375	32.8747536152	33.9906845418	37.3198792809
500	233.318112686	8.746255981e-08	68.0155540907	7.68950387994e-06	287.74042682	30.5568695684	37.8745225998	38.8452228654
520	215.952629192	3.55072212726e-08	73.5092177786	3.04925502527e-06	297.802686081	29.1448942745	38.7788829723	39.4886449191
540	222.346181204	1.68859921843e-08	72.588462302	1.49866188465e-06	299.932890422	25.6569788679	39.9778437075	42.653597883
560	213.756445942	1.04841029124e-08	74.0223962975	8.73470091343e-07	292.869988527	23.9462083843	45.2263285269	42.5298518119
580	213.362485416	8.56256521582e-09	79.8773384162	7.18970542601e-07	297.507584707	23.3222781938	46.6831985908	47.0422544013
600	193.405058866	8.19750638859e-09	79.3337821866	6.71088164179e-07	314.967452516	21.1658445358	48.7059241993	47.3093198465
620	203.694168988	7.93358640599e-09	82.1423894973	6.10056180557e-07	311.074110752	20.3467133689	51.0825455583	50.605318557
640	197.038296637	8.49133525105e-09	79.5521149055	6.75657866099e-07	303.177863689	18.2483046696	57.7082986556	51.890854462
660	180.972055638	8.92711932059e-09	80.9591279038	6.84931939789e-07	300.508302198	17.3958361264	58.2442546589	55.2758862179
680	183.5554955	9.63624648515e-09	81.394959788	6.96082190257e-07	308.783450795	16.4203494293	67.2228110684	57.1439317299
700	175.282537633	1.01416438569e-08	81.5405516304	7.06025080473e-07	301.157946437	14.979249251	70.9877852309	56.8352694544
720	160.90087562	1.04627280699e-08	81.308173776	6.87998920714e-07	286.517631353	15.2156390313	73.3820638626	57.1602898061
740	167.787178676	1.18342366985e-08	84.5454949381	7.51977473281e-07	308.158998709	14.1073174344	75.5649958685	59.9036260237
760	152.043437344	1.25455702257e-08	91.4374101796	7.31857401857e-07	286.593128755	12.8729008913	85.6308798767	58.6967480194
780	153.913157311	1.25992257894e-08	88.4362760729	7.56478626031e-07	287.555120042	11.8620793321	88.628604722	60.1459704358
800	151.510797176	1.43536960491e-08	92.9596496719	7.84310013378e-07	306.948061973	11.404280071	95.5998437679	61.358115774
820	143.406461098	1.48188682706e-08	93.2021998853	8.36940904727e-07	287.085482525	10.1913956958	99.6086756472	60.286869736
840	136.400379366	1.66196554064e-08	90.0386345414	9.02829633072e-07	311.258373939	9.43151543041	105.733431533	59.7522046979
860	125.678598925	1.75137957011e-08	88.9449968056	9.27203098134e-07	293.235530359	9.42580162956	110.136423492	59.733008175
880	132.124801617	1.90794307157e-08	90.4411854015	9.16123618002e-07	305.770785172	8.94825113431	116.086727259	62.8954073356
900	116.564122527	1.96799886661e-08	90.7918261615	9.24252213403e-07	305.082708703	8.04008187364	119.65098798	62.6348421756
920	113.604587993	2.07270447789e-08	96.7974378769	1.0434046636e-06	303.498238866	7.77997620751	119.933872066	57.8190513596
940	111.977053099	2.23642195919e-08	93.4134154802	1.00748731533e-06	288.229199404	7.22246035096	122.612657031	61.3832749905
960	112.145048102	2.48567091853e-08	90.4363376767	1.06722315443e-06	311.549366747	6.51734898987	129.487450052	61.2095352342
980	106.099315898	2.86286282715e-08	98.1828131984	1.13900062235e-06	286.708542105	5.95005566666	142.158796095	59.774586593
1000	100.258802798	3.10322156383e-08	90.1861595872	1.16566073366e-06	288.185328867	5.5438527887	138.017559996	58.6018748299
