Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	13.6704	10.1344	0.4744	0.026584	0.026488	7.91296	0.24872	0.024832	0.025456	12.7584	13.2816	13.0992	15.5232	2.356	9.31968	19.2	12.9792	17.7936	0.73872	0.50016	0.7272	1	110.659
10	280	90	10	10	10	280	10	13.5552	10.1184	0.4736	0.026616	0.026512	7.91296	0.24888	0.024816	0.025496	12.7008	13.2096	13.0224	15.6288	2.3512	9.33408	19.32	12.9744	17.832	0.73824	0.5	0.72672	1	110.545
10	280	90	10	10	10	280	10	13.4352	10.0992	0.4728	0.02664	0.026528	7.91552	0.24904	0.024792	0.025536	12.648	13.1328	12.9504	15.7392	2.3472	9.3456	19.4448	12.9744	17.8656	0.73776	0.49968	0.72552	1	110.436
10	280	90	10	10	10	280	10	13.3104	10.0832	0.472	0.026664	0.026544	7.92064	0.2492	0.02476	0.025576	12.6	13.0512	12.8736	15.8544	2.344	9.35424	19.5744	12.9792	17.8992	0.73704	0.4992	0.7248	1	110.334
10	280	90	10	10	10	280	10	13.1808	10.0704	0.47104	0.026688	0.02656	7.9232	0.24944	0.024736	0.025608	12.5568	12.9648	12.7968	15.9744	2.3416	9.36	19.7088	12.9888	17.9376	0.73632	0.49856	0.72384	1	110.231
10	280	90	10	10	10	280	10	13.0464	10.0544	0.47008	0.026704	0.026568	7.92832	0.24968	0.024704	0.02564	12.5184	12.8736	12.72	16.0896	2.34	9.36576	19.848	13.0032	17.9712	0.7356	0.49776	0.72288	1	110.16
10	280	90	10	10	10	280	10	12.9072	10.0416	0.46896	0.026712	0.026568	7.936	0.24992	0.024664	0.025664	12.4848	12.7776	12.648	16.2	2.3384	9.37152	19.992	13.0224	18.0	0.73488	0.4968	0.72144	1	110.106
10	280	90	10	10	10	280	10	12.9082	10.0422	0.468928	0.0267104	0.0265696	7.93651	0.249936	0.0246624	0.0256656	12.4858	12.7766	12.647	16.199	2.33856	9.37152	19.993	13.0234	17.999	0.734832	0.496768	0.721392	1	110.097
10	280	90	10	10	10	280	10	12.9101	10.0435	0.468864	0.0267104	0.0265696	7.93754	0.249968	0.0246608	0.0256656	12.4877	12.7747	12.6451	16.199	2.33888	9.37152	19.9949	13.0253	17.9971	0.734784	0.496704	0.721296	1	110.085
10	280	90	10	10	10	280	10	12.913	10.0454	0.468768	0.0267088	0.026568	7.93907	0.25	0.0246576	0.025664	12.4896	12.7718	12.6422	16.2	2.33936	9.37152	19.9978	13.0282	17.9942	0.734736	0.496608	0.721248	1	110.066
