,Kholodenko2000_variant1.cps,Kholodenko2000_variant1.cps,Kholodenko2000_variant1.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant2.cps,Kholodenko2000_variant3.cps,Kholodenko2000_variant3.cps,Kholodenko2000_variant3.cps
,RSS,AICc,BIC,RSS,AICc,BIC,RSS,AICc,BIC
RSS Rank,,,,,,,,,
18,1.95121e-09,-5496.76984308,-5427.3109517,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
19,2.05501e-09,-5485.47068046,-5416.01178908,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
20,2.08966e-09,-5481.82557676,-5412.36668538,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
21,2.10047e-09,-5480.70074997,-5411.24185859,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
22,2.12211e-09,-5478.46630501,-5409.00741363,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
23,2.13327e-09,-5477.32286514,-5407.86397376,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
24,2.15791e-09,-5474.81932111,-5405.36042973,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
25,2.18425e-09,-5472.17446674,-5402.71557536,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
26,2.19171e-09,-5471.43118683,-5401.97229545,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
27,2.19743e-09,-5470.86298408,-5401.4040927,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
28,2.26388e-09,-5464.36840226,-5394.90951088,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
29,2.3087e-09,-5460.09463431,-5390.63574293,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
30,2.31545e-09,-5459.45819257,-5389.99930119,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
31,2.371e-09,-5454.2899022,-5384.83101082,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
32,2.37391e-09,-5454.02250826,-5384.56361688,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
33,2.38297e-09,-5453.19209741,-5383.73320603,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
34,2.41762e-09,-5450.04505458,-5380.58616319,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
35,2.49138e-09,-5443.49345945,-5374.03456807,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
36,2.49221e-09,-5443.42084513,-5373.96195375,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
37,2.52517e-09,-5440.55664773,-5371.09775635,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
38,2.54382e-09,-5438.9524945,-5369.49360312,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
39,2.55276e-09,-5438.1876985,-5368.72880712,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
40,2.61137e-09,-5433.23912879,-5363.78023741,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
41,2.62487e-09,-5432.11503726,-5362.65614588,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
42,2.63553e-09,-5431.23149868,-5361.7726073,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
43,2.6404e-09,-5430.8290444,-5361.37015302,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
44,2.64129e-09,-5430.75557549,-5361.29668411,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
45,2.65125e-09,-5429.93506868,-5360.4761773,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
46,2.72734e-09,-5423.76663914,-5354.30774776,2200,531.963550273,577.346481152,3.45511e+11,4639.06736554,4671.91231617
