[Mek1-PP]_0	[Erk2]_0	[Mos]_0	[Erk2-P]_0	[Erk2-PP]_0	[Mos-P]_0	[Mek1]_0	[Mek1-P]_0	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.00133689	1.0604e-06	0.000381661	0.000281594	9.7465	2.94826e-05	1.29497e-06	4.49133e-05	0.0280755	1.26535e-06	1.84844e-06	0.51035	1.72944e-06	1.33126e-06	1269.27	1e-06	0.00311316	0.000318519	1956.85	1.75826e-06	1.18917	22698.3	25221.2	3131.54	213614	1.01541e-06	1.00641	1.59211e-06	0.0142143	588.199	0.00998173
0.00142257	1.20183e-06	0.000136095	0.000260257	14.337	1.11897e-06	1.48408e-06	1.49004e-05	0.0241291	1e-06	1.57198e-06	7195.91	2.14908e-06	0.0135629	1918.44	2.35941e-06	0.00520408	0.000177293	1019.33	1.15761e-06	0.400515	16490.4	23315	987.742	1.36568e-06	91583.6	0.0264932	1.37271e-06	0.000225601	608.033	0.00908123
0.00160976	1.0674e-06	0.000370517	0.00025436	12.1227	2.97831e-05	1.15526e-06	1.45193e-05	0.0155259	1.28507e-06	1.4589e-06	0.566932	1.56601e-06	1.24981e-06	1367.26	1.23957e-06	0.00402427	0.00029832	827.664	1.26554e-06	0.525835	22938.9	2.30299e-06	1.77629e-06	3.05083e-06	20.9312	0.0137549	1.50597e-06	0.000175438	919.345	0.00788724
0.00196564	1.23535e-06	0.000341042	0.000356084	9.21977	1e-06	1.78351e-06	1.64244e-05	0.018242	1e-06	1e-06	0.624314	1.23978e-06	1.84346e-06	2268.23	1.87942e-06	0.00411783	0.000393982	1446.37	1.74692e-06	0.749414	14627.8	4430.36	2.86998e-06	1.55477e-06	1.27239e-06	0.0144659	1.36587e-06	0.0182396	553.626	0.00779699
0.00122057	1.03744e-06	0.000227593	0.000215131	11.3986	1.60753e-06	1.30972e-06	3.01254e-05	0.0121606	1.10099e-06	1e-06	0.419246	1.25714e-06	1.14771e-06	2.20491e-06	1.35613e-06	0.00597678	0.000181489	1224.44	1.22247e-06	0.986302	1.19769e-06	19893.1	1032.89	1.40235e-06	1.09089e-06	0.0135608	1.2639e-06	0.0157019	665.191	0.00697051
0.00142079	1.37261e-06	0.000328564	0.000236035	12.8584	2.24155e-05	1.1236e-06	2.64309e-05	0.0193817	1e-06	1.58698e-06	0.387038	2.03969e-06	0.0156053	1.79695e-06	2.4516e-06	0.00556334	0.000350146	1534.35	0.00135017	0.656646	23563.2	4.64144e-06	632.016	1.62068e-06	1e-06	0.99095	1.08985e-06	0.0131029	548.779	0.0060057
0.00163487	1.39574e-06	0.000306738	0.000242627	15.4793	1.00156e-06	1e-06	2.28657e-05	0.0249199	1.09389e-06	1.86855e-06	9474.42	1.60058e-06	1.12426e-06	3.39395e-06	2.42584e-06	0.00418396	0.000287435	1701.19	1.04167e-06	0.589404	17507	21523.5	832.436	1.44548e-06	1.14639e-06	0.014607	1e-06	0.0136588	816.248	0.00403392
0.00174791	1.32498e-06	0.000297573	1.13007e-06	11.8751	1.32212e-06	1e-06	2.73127e-05	0.0327066	1.00936e-06	1.5307e-06	8045.01	1.93878e-06	0.0222644	1.99536e-06	1.40236e-06	0.00758703	0.000189982	1366.78	1.70721e-06	1.72189e-06	1.03827e-06	17036	799.033	1.59616e-06	72707.1	0.0191874	1.55931e-06	0.0134614	855.852	0.00352112
0.00201117	1e-06	0.000139676	1.784e-06	9.84793	1.1396e-06	1.17561e-06	9.15928e-06	0.0395887	1e-06	1.58091e-06	0.419098	1.55317e-06	1.53432e-06	1907.14	1.7261e-06	0.00461402	0.000232631	1653.76	1.05554e-06	1e-06	19683.6	24516	2.11317e-06	1.58317e-06	1.02793e-06	1.08342	1e-06	0.000137384	799.323	0.00298383
0.00169252	1.02707e-06	0.000642106	0.000211716	9.80244	1.33193e-06	1.23788e-06	2.66654e-05	0.0180187	1.19862e-06	1.75059e-06	11674.9	1.4021e-06	1e-06	2.4326e-06	1.28147e-06	0.00321982	0.0001752	1271.16	0.00156172	1.38367e-06	1.12447e-06	3.54164e-06	1.81511e-06	1.27546e-06	1.17667e-06	0.00766165	1.2534e-06	0.000159514	844.097	0.00117119
0.00301965	1e-06	0.000172722	2.03162e-06	12.7674	1.67493e-06	1.34382e-06	1.59673e-05	0.0135644	1.19116e-06	1.43361e-06	0.462242	1.77066e-06	0.00889315	989.761	1.16816e-06	0.00887617	0.000228523	1265.07	1.71105e-06	1.51505e-06	17877.8	15594.6	518.205	1.65842e-06	1.19596e-06	1.15828	1e-06	0.00937104	583.364	0.00096174
0.00245997	1e-06	0.00041372	0.000214461	13.3843	1.36696e-06	1.09259e-06	1.99631e-05	0.0162421	1.35822e-06	1.41388e-06	1.09363e-06	1.40822e-06	1.19641e-06	2162.52	2.66127e-06	0.00505655	0.00025711	1848.69	1.87904e-06	1.08128e-06	17947.9	31745.2	514.74	1.64644e-06	23.8411	0.641659	1.44406e-06	0.0113249	1246.6	0.00069418
0.00365265	1.37627e-06	0.000385558	0.000255629	12.5811	1.0375e-06	1.03964e-06	1.18063e-05	0.0213018	1.32206e-06	1.11438e-06	0.556429	1.31006e-06	0.0137611	1399.66	3.15823e-06	0.0083958	0.000190912	1094.22	0.00411304	1.42629e-06	19391.5	1.81911e-06	1.3796e-06	1e-06	22.0284	0.0107553	1e-06	0.000139438	639.544	0.000648643
0.00372801	1.10822e-06	0.000208553	1.77455e-06	11.6605	1.45911e-06	1.03766e-06	1.42579e-05	0.0338524	1.14519e-06	1.41862e-06	0.456133	2.31777e-06	0.0115071	2.27463e-06	1.33971e-06	0.00875235	0.000216168	1968	2.18283e-06	2.3446e-06	31585.7	30948.8	940.99	1.13325e-06	1.53469e-06	0.95671	1.8188e-06	0.00010258	618.34	0.00059622
0.00335216	1.24696e-06	0.00017884	1.12806e-06	11.0654	1.32175e-06	1.82801e-06	1.27459e-05	0.0230113	1.02455e-06	1.29985e-06	7917.78	2.08909e-06	0.0126909	941.113	2.88032e-06	0.00386371	0.000206648	2310.91	1e-06	1.31518e-06	16515.4	17587.6	750.336	1.11247e-06	1.26233e-06	0.0126534	1.07748e-06	0.00023737	839.187	0.000157641
0.00337872	1.51556e-06	0.000225429	0.000189373	12.4159	1.34997e-06	1.07723e-06	1.42824e-05	0.0146612	1e-06	1e-06	0.491603	1.71884e-06	0.00995763	911.072	1.04118e-06	0.00723752	0.000122592	1341.72	1.7016e-06	1.81164e-06	22393	18061.3	1.37904e-06	1.47651e-06	1.32036e-06	0.0115506	1.08974e-06	0.012108	945.232	0.000135858
0.00353524	1e-06	0.000178061	1e-06	13.5983	1.5254e-06	1.16429e-06	1.5996e-05	0.0250037	1.10134e-06	1.35821e-06	1e-06	1.10101e-06	0.0184622	1.36378e-06	1e-06	0.00499657	0.000233387	1015.45	1.57444e-06	1.11908e-06	15323.2	7833.27	1138.39	1.25219e-06	1.39484e-06	0.0182484	1.07037e-06	0.0137555	623.558	0.00012645
0.00482045	1.09827e-06	0.000134243	1e-06	12.4979	1.09799e-06	1.1696e-06	1.08192e-05	0.0343504	1e-06	1.08446e-06	0.632513	1.21195e-06	0.0150972	2406.85	1e-06	0.00756097	0.000120663	1604.34	1.44364e-06	0.365729	18570.3	18087	1.91599e-06	1.87315e-06	1.01709e-06	0.0141283	1.13844e-06	0.00748882	871.239	0.000111082
