(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
39.0024	2.02187	10.2607	6.14319	0.375527	64.0032	0.108726	0.25473	0.277137	25.6674	18.9178	10.538	27.6436	13.7149	2.85374	4.33235	17.2302	63.6792	0.933757	1.15399	0.809395	25.1932	21886.2
20.8046	0.155997	0.30509	0.190859	0.1	92.5589	0.114827	0.229605	0.39547	14.8504	6.70452	17.2366	31.1229	13.3459	1.158	4.68751	16.6699	100.0	1.43192	38.0275	1.26212	15.9397	15942.6
100.0	0.135634	3.33688	0.761837	0.518163	0.284314	0.1	0.1	0.101357	12.8197	3.50677	0.292645	100.0	23.7027	56.6583	2.23901	43.6986	4.5118	1.49807	2.13008	1.40678	18.4297	17339.3
100.0	0.187148	0.120393	0.223692	0.100259	3.85928	0.105225	0.1	0.1	12.7586	1.35464	0.179404	100.0	0.384654	69.8027	0.647279	4.35461	100.0	0.883971	38.4017	0.765373	14.1854	4890.97
5.20161	0.147719	0.155186	0.128105	0.1	1.88637	0.1	0.1	0.1	1.17028	1.38749	0.357567	100.0	0.724262	3.2782	0.598141	3.56825	100.0	0.812928	20.4982	0.951934	9.67988	5799.53
0.88366	7.15447	0.1	0.187938	0.212249	0.989596	0.168376	0.1	0.1	1.29655	4.75398	58.5506	75.4185	23.6543	4.61501	0.1	0.172242	8.32901	0.703868	72.4398	1.26968	22.9567	13848.2
0.114568	0.64618	4.74121	0.155335	0.247543	0.150402	0.139169	1.46529	0.1	7.43015	0.146691	98.8059	100.0	60.9628	66.1314	0.412841	6.95008	3.28611	0.717487	0.115053	1.90962	13.9805	21150.8
0.11522	3.37793	17.7871	0.212714	1.73885	0.351003	0.10799	0.102064	0.1	0.51102	7.05461	4.23045	94.3232	1.84994	100.0	0.954763	2.18322	2.52857	0.794694	4.37508	0.975691	24.7416	19063.3
0.742809	14.1461	35.2137	90.8551	0.634592	3.31763	18.0333	45.4843	71.2698	66.2822	5.57013	5.66722	26.6876	1.16328	34.9447	2.66888	11.7193	15.5588	0.143664	0.165138	0.1	2.62722	30757.8
0.110769	0.140495	53.3286	0.479939	2.33963	0.969594	4.19495	16.346	37.9243	23.2822	92.0064	18.0603	56.632	35.9227	0.1	2.05589	0.16196	84.4251	0.1	39.4972	0.1	8.35656	30521.6
0.132321	0.146762	0.1	0.166525	0.295071	0.1	4.04816	18.3028	42.9925	8.20739	68.5425	23.4897	50.7988	1.71291	4.23832	1.51325	0.87702	98.1464	0.1	50.209	0.107517	7.51914	27376.6
96.5148	2.70576	0.394729	1.08805	0.200141	1.17629	0.1	0.1	0.1	6.88238	15.8921	7.47698	100.0	25.7169	16.2572	0.138768	43.3468	0.511547	1.42698	1.82365	1.48539	19.9564	17038.6
100.0	0.277586	11.1207	0.296817	0.303288	2.27661	0.140549	0.63904	0.102523	3.16229	1.3826	5.78433	100.0	36.1433	5.07844	37.3563	0.537877	1.04415	0.737777	0.855785	0.869959	4.35929	20628.6
95.4233	39.0987	4.2263	0.119772	0.952723	28.3785	0.119148	0.251851	0.1	0.180883	6.45733	20.9005	100.0	4.68072	35.4945	45.6911	2.33117	14.8378	1.28654	0.322422	4.36697	5.4037	16244.3
1.45441	0.119245	0.1	0.198397	2.23735	0.246218	0.19064	0.1	0.1	0.483207	0.751189	46.9517	100.0	7.56942	2.36963	25.2349	0.355619	58.0355	0.664488	89.1841	1.12775	89.646	11640.8
98.1595	0.905801	0.305222	0.183591	0.177016	0.1	0.1	0.1	0.1	1.55972	0.249217	73.5132	100.0	9.38342	2.86149	0.175889	12.9987	0.141674	0.858392	0.102734	1.63173	8.80736	6715.04
100.0	2.59497	0.265393	0.103361	0.169868	0.147757	0.1	0.1	0.100073	0.545992	0.116293	71.8378	100.0	6.67367	1.21902	0.294455	18.7144	0.188573	0.822438	0.256568	1.61405	15.1872	6804.36
94.6182	0.743354	81.2207	61.0872	1.49225	48.5904	0.1	0.1	0.142995	3.65079	2.38347	13.867	84.6474	0.58196	5.56201	44.1099	3.81824	5.71575	1.45131	0.926984	1.75441	3.81713	13667.3
2.10596	0.358851	17.5252	0.129037	0.346196	0.302231	0.956758	4.41324	6.88009	2.68364	28.1908	13.3999	24.3762	52.8082	0.914853	93.8793	0.224222	21.5701	0.101371	3.30942	0.101432	7.8231	30361.9
0.120946	0.487605	0.112707	0.1	0.612642	0.640785	0.878341	3.67102	5.44419	14.0876	33.9907	14.8218	22.6893	34.7896	0.926841	61.2433	0.360168	28.7225	0.1	31.71	0.1	3.83212	27851.4
0.186668	0.108403	1.43864	0.277216	0.611718	0.247378	0.21601	0.127438	0.333902	0.156618	0.105244	0.117408	96.7394	54.5732	1.31907	0.727114	0.1	4.35165	0.482958	0.885776	0.350163	10.5746	14939.1
0.187322	8.19499	0.1	0.107989	0.677807	0.124608	0.351409	58.2979	2.35494	0.234015	0.210213	23.4851	44.2176	3.73002	0.414526	3.5462	0.522908	28.0071	0.152778	90.8567	0.202633	2.36881	27865.1
0.178551	29.5921	0.739032	4.58778	0.503407	0.1	0.107658	0.106084	0.1	0.1	0.407686	8.59289	100.0	17.8525	0.526955	2.64853	16.6716	0.220379	0.59992	48.2752	0.72327	44.2811	9186.04
100.0	0.580389	0.113095	0.266642	0.421473	0.324604	0.1	0.1	0.1	57.6321	2.95103	66.3658	98.7798	8.21638	49.8793	7.76929	9.1577	0.668914	1.86092	1.25117	2.5014	17.9494	17020.5
54.4007	54.2193	2.38018	48.3348	0.39254	0.1	0.100729	0.1	0.1	32.5629	0.861119	4.82871	100.0	16.0074	36.3775	16.45	20.0415	33.4254	1.1569	2.6406	0.93912	11.6658	17463.1
100.0	7.33027	19.1412	0.771923	6.56518	0.1	0.1	0.1	0.1	39.9641	0.910753	7.26098	100.0	44.7518	2.81146	38.444	0.566506	17.3691	1.09046	3.78885	0.827807	18.0201	7052.82
89.577	0.386596	8.62533	1.10495	5.00849	0.309279	0.10173	0.1	0.101717	29.5816	0.801645	10.1903	100.0	6.47536	4.44498	74.1651	0.455181	33.0201	1.0345	4.742	0.874848	11.6125	7525.17
97.0336	0.10079	0.224343	0.132992	1.4737	0.154574	0.1	0.1	0.1	65.6234	0.320702	4.13032	100.0	2.86266	0.963481	5.76541	0.205736	42.7914	1.13062	3.44175	0.686656	29.3441	7833.92
2.50424	5.20973	4.50987	27.4264	1.08892	0.114199	0.14884	0.105241	0.1	1.72578	2.94455	41.5697	100.0	55.5799	4.29445	15.515	1.9674	1.43695	0.734006	0.171483	1.15749	6.66389	18829.1
98.806	0.169373	1.58106	0.239319	0.189058	0.605155	0.100318	0.1	0.1	10.4136	1.08232	76.1612	97.8838	1.69878	17.8959	0.14839	33.9007	73.8567	1.11924	12.876	1.76453	6.96953	16428.2
4.92202	2.67587	2.31789	0.192988	0.447823	0.16945	0.104681	0.102434	0.1	0.317483	2.55484	3.19057	100.0	13.2128	18.9309	3.54931	49.4871	2.15352	0.703908	0.704554	0.773724	12.9154	19446.8
8.88424	0.487179	0.485819	0.1	0.91016	0.188842	0.102898	0.101639	0.1	0.337794	1.17819	39.4633	100.0	28.5656	3.67636	0.107388	62.8781	0.306131	0.61339	1.50786	0.944555	56.0015	8619.38
48.0692	0.184567	6.6645	71.969	1.2687	0.560445	0.140479	0.584792	0.100348	0.387204	9.20537	22.0524	100.0	29.491	47.5106	3.07894	18.8464	72.6107	0.665356	0.298939	0.912506	9.88368	20433.4
