[monophosphorylated PER]_0	[total PER]_0	[PER mRNA]_0	[nuclear PER]_0	[EmptySet]_0	[unphosphorylated PER]_0	[biphosphorylated PER]_0	(degradation of PER).Kd	(degradation of PER mRNA).Vm	(first phosphorylation of PER).K1	(removal of the first PER phosphate).V2	(transcription of PER).KI	(transcription of PER).Vs	(removal of the second PER phosphate).V4	(second phosphorylation of PER).V3	(transcription of PER).n	(removal of the second PER phosphate).K4	(removal of the first PER phosphate).K2	(translocation of PER to the cytoplasm).k2	(first phosphorylation of PER).V1	(translation of PER).ks	(second phosphorylation of PER).K3	(translocation of PER to the nucleus).k1	(degradation of PER).Vd	(degradation of PER mRNA).Km	TaskList[Parameter Estimation].(Problem)Parameter Estimation.Best Value
0.0374648	0.174296	1.25283e-005	0.134535	0	1.02729e-006	0.00229493	0.0750314	0.00284312	0.00318017	0.331337	0.173805	0.000342374	1.70404e-006	5.2328e-006	0.331454	10.0678	38.8998	0.979939	0.00706561	2.20626	9.43955e-005	348.272	4.79248e-006	0.0126475	3.18087e-006
4.50689e-006	0.817374	116.229	0.267685	0	0.549681	3.06394e-006	0.000111548	461340	2.84494	225007	391.426	45872.4	6084.86	0.00549183	10.5641	0.0318034	303077	0.000306926	0.00170414	6.62489e-005	112734	39996.1	4.89611e-006	6.95582	5.58365e-005
4.43214	1838.67	0.000382937	1829.53	0	3.19358e-005	4.70567	291.598	309993	0.00254876	67.3777	2.7305e-006	645.621	0.000276388	300003	0.497498	0.00107942	41819.5	0.117021	337284	415.623	212120	1.51109	13188.3	7.20942	0.0624592
0.000159084	0.205486	6.86112e-005	0.205291	0	3.47061e-005	1.2002e-006	0.366947	431435	0.00133691	2.00472	692912	445799	0.0344173	0.176699	0.0509162	0.000260515	6.43442	0.0011257	2.91583e-005	0.000289482	0.657001	5175.86	0.00179777	0.407024	3.5054e-006
0.705364	3.03466	0.000375728	0.0113873	0	0.000754735	2.31715	97664.6	393522	3.49666e-005	59.1697	1.10814e-006	0.10942	292.433	0.00214701	0.0596522	0.000257028	154.641	0.00111289	0.204746	0.0041145	3881.14	3405.51	0.0165795	8.8238e-006	2.49624e-006
0.666622	1.1492	0.000382964	0.482558	0	2.3666e-005	1.40718e-006	5.20422	200.075	0.0391283	0.000858438	1.20078e-006	0.000347228	2.55259e-005	0.178003	0.0759219	0.000150404	0.143613	0.000420117	0.224622	0.0321429	323865	1.9865e-006	0.0130972	0.000931291	2.99641e-006
0.579612	0.958451	0.000332712	0.376787	0	2.26986e-005	0.00202935	5.03539	2.08971e-005	1118.9	0.00109968	1.05799e-006	0.000184091	2.9509e-005	0.174141	0.0704423	0.000357907	0.572075	10844.7	0.212989	0.0215715	282202	2.4248e-006	0.00874774	0.000692837	2.89854e-006
0.769965	1.56882	1.15733e-005	0.306189	0	0.394003	0.098658	6.36e-005	0.000497437	0.016398	272.882	1.55963e-006	0.000112457	5.29328e-006	0.133374	6.98528e-006	2.97472e-006	239511	9.82585e-006	1.26338e-005	4.02411	1901.81	3.23533e-005	9.962e-005	0.000734551	2.41257e-006
0.501765	1.23285	0.000230426	0.642925	0	0.000864395	0.0872962	4697.81	120.618	3.5517e-006	0.00684145	1.18357e-006	0.000138935	2.02092e-005	230.239	0.0614037	1.63347e-006	0.207063	1.26724e-005	1.75829e-005	596351	142659	2.28438e-006	9.26923e-005	0.00100097	2.77297e-006
0.796594	1.43745	0.0882314	0.640832	0	2.30422e-005	2.92832e-006	1.2372	0.000614682	9.70781e-005	0.00475941	1.58018e-006	0.000134126	7.51111	8.24948e-006	0.507406	79089.2	0.0222815	107.073	1.09599e-005	0.0027401	0.0014182	5.4108	6.29227e-005	0.00129656	2.78411e-006
0.661954	0.822941	0.000156388	0.160801	0	0.000182801	3.47871e-006	123506	18.6484	0.000682464	13.0013	790.526	0.000139941	8.66565	98.2166	0.20933	89407.7	8.90235e-005	8.55831e-006	0.000388851	2.52112	0.00662832	546.691	5.97105e-005	120.276	2.96441e-006
0.684392	0.684709	0.000163788	0.000292624	0	1.97823e-005	4.10324e-006	15.7373	285443	17345.2	2.49482	0.176434	0.0476717	0.0558652	2541.61	0.0118454	20445.3	2.3347e-006	1.16413	0.000154205	44.2531	0.0136291	17.9741	3.1375e-005	133.807	3.31332e-006
0.591285	0.725494	0.000209855	0.129387	0	0.000213474	0.00460875	0.175334	200468	9.60989e-006	1110.29	2240.23	3.91331e-005	156298	38.8255	0.00187474	0.00251619	2.7426	1.64237e-006	0.167955	20209.6	0.000549603	10.5331	0.154082	5.09567e-006	3.61233e-006
0.712648	0.832833	0.0638546	0.119858	0	0.000325904	1.57881e-006	0.000960212	1.36353	0.000996642	0.0063428	0.0501942	0.000577218	81092.6	0.0069616	0.00389614	101810	2.83602	6.79488e-006	0.000466609	0.0341585	19170.1	0.000112006	17802.4	0.000137368	3.26705e-006
0.98262	2.15462	0.0824909	1.17173	0	0.000269737	1.75221e-006	0.000811385	0.19907	0.00127144	4.83833e-006	0.0547907	0.000672896	177493	14.089	0.0622465	37.7665	1.68651e-006	0.000239838	0.669652	0.0668436	19435.2	0.000157058	12749.9	0.00011826	2.82671e-006
