INFO:root:__init__:<module>:27:Initializing pycotools
INFO:root:__init__:<module>:28:Initializing logging System
INFO:root:__init__:<module>:29:logging config file at: //home/b3053674/Documents/pycotools/pycotools/logging_config.conf
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kcd.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/kr_Cave.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/ki_Cave.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kexp_Smad4n.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kdiss_Smads_Complex_n.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kimp_Smad2c.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kimp_Smads_Complex_c.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kimp_Smad4c.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/Kdeg_T2R_EE.png"
INFO:pycotools.viz:viz:plot:1659:figure saved to "MyParameterEstimationResults/parameter_estimation_synthetic_data/k_Smads_Complex_c.png"
