Time	[X]	[Y]	[Z]
0.344	-6.4602	-14.8844	34.1904
0.345	-6.54436	-14.9524	34.1508
0.346	-6.62836	-15.0216	34.113
0.347	-6.71223	-15.0921	34.077
0.348	-6.79596	-15.1638	34.0429
0.349	-6.87959	-15.2368	34.0108
0.35	-6.96311	-15.311	33.9805
0.351	-7.04655	-15.3864	33.9522
0.352	-7.12991	-15.4629	33.9257
0.353	-7.21321	-15.5407	33.9013
0.354	-7.29647	-15.6197	33.8787
0.355	-7.37968	-15.6998	33.8582
0.356	-7.46287	-15.7811	33.8396
0.357	-7.54605	-15.8635	33.823
0.358	-7.62922	-15.947	33.8084
0.359	-7.71241	-16.0316	33.7959
0.36	-7.79561	-16.1174	33.7853
0.361	-7.87885	-16.2042	33.7769
0.362	-7.96212	-16.292	33.7705
0.363	-8.04545	-16.381	33.7662
0.364	-8.12884	-16.4709	33.7639
0.365	-8.21229	-16.5619	33.7638
0.366	-8.29583	-16.6539	33.7658
0.367	-8.37946	-16.7468	33.77
0.368	-8.46318	-16.8408	33.7764
0.369	-8.54701	-16.9356	33.7849
0.37	-8.63096	-17.0314	33.7956
0.371	-8.71502	-17.1281	33.8085
0.372	-8.79922	-17.2257	33.8237
0.373	-8.88355	-17.3241	33.8411
0.374	-8.96803	-17.4234	33.8607
0.375	-9.05266	-17.5235	33.8827
0.376	-9.13745	-17.6244	33.9069
0.377	-9.2224	-17.7261	33.9335
0.378	-9.30753	-17.8285	33.9624
0.379	-9.39283	-17.9316	33.9937
0.38	-9.4783	-18.0354	34.0273
0.381	-9.56397	-18.1399	34.0634
0.382	-9.64982	-18.2451	34.1018
0.383	-9.73587	-18.3508	34.1427
0.384	-9.82212	-18.4571	34.186
0.385	-9.90858	-18.564	34.2318
0.386	-9.99523	-18.6714	34.28
0.387	-10.0821	-18.7794	34.3308
0.388	-10.1692	-18.8877	34.3841
0.389	-10.2565	-18.9965	34.4399
0.39	-10.344	-19.1057	34.4982
0.391	-10.4317	-19.2153	34.5592
0.392	-10.5197	-19.3252	34.6227
0.393	-10.6078	-19.4354	34.6888
0.394	-10.6962	-19.5458	34.7575
0.395	-10.7848	-19.6564	34.8288
0.396	-10.8736	-19.7673	34.9028
0.397	-10.9627	-19.8782	34.9795
0.398	-11.0519	-19.9893	35.0588
0.399	-11.1414	-20.1004	35.1409
0.4	-11.2311	-20.2116	35.2256
0.401	-11.321	-20.3227	35.3131
0.402	-11.4112	-20.4337	35.4033
0.403	-11.5015	-20.5446	35.4962
0.404	-11.592	-20.6554	35.5919
0.405	-11.6827	-20.7659	35.6903
0.406	-11.7737	-20.8762	35.7916
0.407	-11.8648	-20.9862	35.8956
0.408	-11.9561	-21.0958	36.0024
0.409	-12.0476	-21.2051	36.112
0.41	-12.1393	-21.3138	36.2244
0.411	-12.2311	-21.4221	36.3397
0.412	-12.3231	-21.5298	36.4578
0.413	-12.4152	-21.6369	36.5786
0.414	-12.5075	-21.7433	36.7024
0.415	-12.5999	-21.849	36.8289
0.416	-12.6925	-21.9539	36.9583
0.417	-12.7851	-22.0579	37.0906
0.418	-12.8779	-22.1611	37.2256
0.419	-12.9708	-22.2633	37.3635
0.42	-13.0638	-22.3644	37.5043
0.421	-13.1568	-22.4645	37.6478
0.422	-13.2499	-22.5635	37.7942
0.423	-13.3431	-22.6612	37.9434
0.424	-13.4363	-22.7577	38.0954
0.425	-13.5295	-22.8528	38.2502
0.426	-13.6227	-22.9466	38.4078
0.427	-13.716	-23.0388	38.5681
0.428	-13.8092	-23.1296	38.7312
0.429	-13.9024	-23.2187	38.897
0.43	-13.9955	-23.3062	39.0656
0.431	-14.0886	-23.3919	39.2369
0.432	-14.1816	-23.4759	39.4108
