Time	TGFbR	CoSmad	Smad_P	Smad_P_N	I_Smad_mRNA1	I_Smad_mRNA2	TGFb_TGFbR	Smad_P_Smad_P	Smad_P_CoSmad	Smad_P_Smad_P_N	I_Smad	TGFb	CoSmad_N	Smad	TGFb_TGFbR_P	Smad_N	Smad_P_CoSmad_N	I_Smad_TGFb_TGFbR_P
880	466.597999013	9494.08589796	2716.02773046	5822.41145321	1.7397890047	11.0810528202	3.51360479973	36.5501202119	139.554166689	136.31204603	2.32060450237	460.907359358	141183.629349	3122.67642617	364.203999061	73026.5487035	3813.93113152	167.714689346
960	443.927856026	9778.01823284	2686.92273512	6507.64373855	1.82560611603	12.1264553648	3.2278497595	38.2420561028	135.587318872	169.968747716	2.67750473322	470.031912225	133978.271017	3002.45655372	368.781080679	72351.6813755	4089.97307374	204.533472905
1040	434.738825839	10047.723639	2583.9652564	7074.03936145	1.69983871996	13.7670714145	3.10943806878	39.1128486185	144.927675373	209.641282071	3.08823003635	441.952718302	140246.758168	2985.35834032	338.039081079	75478.0015849	4512.54946392	247.054596538
1120	390.510470853	9734.99159316	2733.41959705	7263.32797337	1.7037433622	14.3846069514	3.02975431674	39.7747393063	137.328914677	246.332080909	3.73923001563	456.387396432	136300.526368	3111.33481045	320.994624378	69418.6452632	5078.27851405	288.741491541
1200	375.555760086	9634.63821801	2569.14186979	7502.91382929	1.69720006638	16.3959202955	2.60087855706	38.9981397061	134.53956879	281.687890792	4.39143153248	442.805960767	132279.464297	3069.56828407	297.001986362	70666.5370884	5083.40800913	363.931395142
1280	353.258236974	9460.25290844	2442.55224226	7678.23638823	1.83177044996	17.6276712974	2.55411757668	37.131320461	134.643267034	315.111827718	5.14571935569	468.459354487	130162.718384	3117.99963487	266.532442534	73357.6913982	5794.28235345	403.938625215
1360	315.229222431	9716.89065213	2480.84066437	8026.84583999	1.80926357786	19.1016983112	2.17558170599	36.1349033007	139.241433464	325.086964354	6.71651448685	437.97753156	129254.223977	3263.25049133	222.288482747	71978.5757692	5959.15770797	483.437513641
1440	311.076966323	10008.4573331	2205.38757949	8219.50455163	1.7869942203	20.500745642	1.82829318656	32.1539844018	133.604696735	355.834814766	8.36086980346	472.892224926	137326.732116	3449.59922598	174.853706692	66673.0368907	5938.56024171	529.324903465
1520	281.249178415	9620.54969435	2075.65323768	8032.63884793	1.84434664672	20.9798583331	1.50663651503	27.842636162	116.379634412	357.644833046	11.828025227	442.384741544	131086.334091	3657.13208048	125.312227488	67791.1228729	5816.99908343	625.449940043
1600	271.303829242	10025.428649	2001.40561475	8474.94392898	1.68688694702	21.5768239664	1.20139988287	24.0700386715	111.590981615	376.706733054	19.479826712	440.442442532	137695.663084	3715.27836053	84.0114392634	66210.8371631	6032.816134	666.296010464
1680	243.553253401	9967.89010521	1746.86469983	8549.65386161	1.79408468735	22.0723779566	0.89927139404	20.4906968655	97.6898019512	366.765881179	33.8162795217	442.680180779	139042.797924	3934.08255287	37.2969831917	71775.6453783	6314.6813595	755.458736255
1760	214.950480552	10019.1993704	1432.11325897	7679.63977665	1.85557728679	23.9637944232	0.683770382611	15.7479604389	91.1469232125	374.410036673	73.6865510912	453.590661105	130713.766656	4259.95071096	9.68471181275	66590.3709308	6064.72345051	758.522377705
1840	212.211407113	9230.41797689	1193.64391671	7881.48154265	1.74321880179	26.0485555173	0.62996225435	12.3271283778	78.8939284559	360.630088055	139.110862098	448.278756837	134344.943606	4699.26837997	3.01708556944	70966.467341	5749.45498875	766.335066171
1920	195.614040169	10098.9774088	1036.47466653	7703.47959606	1.7543234906	26.549524069	0.568019171427	9.49033887451	68.3024687306	350.090313189	203.739325868	476.696152059	128394.589839	4488.91021198	1.76630637039	68684.6273148	5830.99430863	783.52250454
